Company,Financial_Instrument,Stock_Exchange,Investment_Amount,Currency,Investment_Date
Company_15,Commitments,JPX,4187400.89,USD,2022-06-26
Company_97,Swaps,LSE,3783414.5,CAD,2011-04-02
Company_73,Futures,SSE,3982486.79,GBP,2019-05-06
Company_86,Bonds,TSX,6464683.02,INR,2022-08-01
Company_61,Swaps,HKEX,2986950.26,CNY,2012-02-12
Company_46,Derivatives,LSE,4901529.12,AUD,2012-02-13
Company_73,Commitments,SSE,8825872.53,INR,2015-10-26
Company_39,Commitments,SSE,7322773.48,AUD,2015-05-28
Company_74,Swaps,BSE,3289662.45,INR,2018-12-27
Company_19,Futures,LSE,3077180.58,CNY,2022-07-13
Company_10,Commitments,JPX,8697846.26,INR,2023-01-28
Company_2,Commodities,TSX,6167460.56,USD,2010-07-03
Company_71,Swaps,LSE,8745160.4,JPY,2011-06-12
Company_56,Commodities,NSE,8617238.37,CAD,2012-02-14
Company_26,Derivatives,SSE,8021789.77,GBP,2020-05-24
Company_36,Equities,ASX,9040464.06,USD,2017-07-11
Company_40,Commodities,JPX,9960399.1,EUR,2022-06-26
Company_48,Futures,HKEX,6265167.2,INR,2017-06-22
Company_86,Commitments,TSX,1420212.3,USD,2017-12-10
Company_19,Mortgages,NASDAQ,1698554.44,JPY,2022-08-24
Company_28,Bonds,NYSE,209548.73,AUD,2015-03-08
Company_23,Fixed Income,LSE,7640862.91,EUR,2022-05-05
Company_82,Swaps,TSX,7549749.25,INR,2019-04-23
Company_74,Derivatives,HKEX,5159264.99,JPY,2010-08-03
Company_89,Options,TSX,4163768.33,USD,2019-01-08
Company_92,Derivatives,NASDAQ,6526600.2,USD,2020-04-07
Company_30,Commitments,HKEX,5734965.78,CNY,2021-01-26
Company_46,Commodities,LSE,7338924.41,USD,2020-08-07
Company_12,Commitments,ASX,8391346.15,CNY,2017-07-22
Company_23,Fixed Income,JPX,8488092.42,CAD,2018-03-13
Company_30,Swaps,NASDAQ,7105755.74,EUR,2018-01-07
Company_5,Fixed Income,JPX,4434680.6,AUD,2012-07-07
Company_87,Equities,NYSE,7347181.75,AUD,2022-08-12
Company_48,Commitments,ASX,8403620.23,CNY,2019-09-08
Company_21,Mortgages,SSE,8238539.39,EUR,2021-09-03
Company_21,Options,NYSE,6124799.13,EUR,2022-10-03
Company_60,Commodities,NYSE,893215.53,GBP,2023-08-15
Company_83,Commitments,NSE,5948164.74,CNY,2017-09-11
Company_82,Options,NSE,8185495.29,CNY,2011-03-03
Company_92,Commodities,NSE,7172769.32,AUD,2021-05-10
Company_14,Derivatives,BSE,3663555.03,AUD,2013-08-11
Company_77,Options,LSE,3000637.13,EUR,2013-03-18
Company_15,Options,NYSE,7856831.54,GBP,2019-11-12
Company_46,Options,TSX,6708404.81,CAD,2017-04-11
Company_22,Bonds,TSX,445554.41,INR,2011-12-24
Company_39,Futures,NASDAQ,2056558.95,USD,2014-07-24
Company_48,Mortgages,NSE,3179770.65,AUD,2015-07-09
Company_42,Equities,HKEX,765386.68,GBP,2019-01-08
Company_68,Mortgages,BSE,3259067.44,GBP,2022-10-09
Company_58,Mortgages,SSE,5864265.26,CNY,2022-04-07
Company_58,Swaps,NYSE,6030650.79,EUR,2011-04-27
Company_88,Futures,NASDAQ,6823635.81,GBP,2023-03-05
Company_57,Bonds,NASDAQ,3576110.71,AUD,2022-03-12
Company_90,Commitments,NASDAQ,9108347.1,INR,2021-05-06
Company_21,Fixed Income,NASDAQ,5647517.18,JPY,2011-12-25
Company_28,Mortgages,SSE,4877500.93,INR,2010-04-10
Company_4,Futures,NSE,8556511.39,EUR,2014-09-12
Company_40,Fixed Income,BSE,1537055.69,INR,2020-05-17
Company_94,Commitments,JPX,4699516.97,EUR,2017-12-18
Company_99,Derivatives,LSE,5965470.72,CNY,2014-03-27
Company_66,Equities,BSE,5544460.36,EUR,2019-03-13
Company_9,Commodities,ASX,6893279.88,CNY,2023-10-05
Company_58,Equities,LSE,6609448.89,USD,2023-11-02
Company_29,Futures,NASDAQ,3984045.01,USD,2012-09-03
Company_14,Commitments,NASDAQ,4950076.02,AUD,2010-05-23
Company_64,Options,NSE,2378703.43,AUD,2018-01-12
Company_18,Commitments,NSE,7309299.01,GBP,2010-08-08
Company_73,Commodities,NYSE,6321590.75,CNY,2020-04-04
Company_55,Mortgages,SSE,3223700.52,EUR,2010-08-16
Company_15,Futures,BSE,6599986.66,INR,2016-08-28
Company_96,Equities,NASDAQ,6892390.02,CNY,2023-01-13
Company_35,Options,ASX,8751563.53,AUD,2022-11-26
Company_40,Equities,LSE,2940056.87,USD,2014-12-20
Company_96,Options,JPX,4099944.77,CAD,2013-09-14
Company_72,Equities,ASX,1154638.19,CNY,2015-03-16
Company_54,Bonds,NSE,9412998.98,JPY,2011-06-12
Company_23,Derivatives,TSX,1009080.76,INR,2023-09-07
Company_24,Commitments,NASDAQ,1597979.91,EUR,2018-07-17
Company_48,Swaps,BSE,2224488.36,CAD,2018-11-11
Company_54,Futures,NSE,9194515.56,EUR,2010-05-12
Company_84,Bonds,JPX,9858278.3,GBP,2016-12-08
Company_39,Mortgages,TSX,1909506.72,CAD,2019-03-17
Company_67,Commodities,NYSE,9119472.52,CAD,2012-06-03
Company_27,Bonds,LSE,4813388.79,GBP,2015-09-28
Company_52,Commitments,JPX,1920528.86,EUR,2020-05-01
Company_91,Options,TSX,9656595.25,INR,2014-03-14
Company_15,Derivatives,TSX,4729874.82,GBP,2011-12-13
Company_17,Commodities,ASX,4602159.23,JPY,2013-12-06
Company_5,Swaps,BSE,1042133.58,JPY,2016-09-20
Company_45,Mortgages,SSE,6976459.88,INR,2022-05-26
Company_100,Options,NYSE,1770930.24,JPY,2013-11-27
Company_46,Mortgages,HKEX,3258444.14,AUD,2020-06-20
Company_56,Fixed Income,JPX,2223754.41,AUD,2016-01-15
Company_37,Futures,NASDAQ,3991676.2,EUR,2015-06-11
Company_56,Commitments,HKEX,7938447.85,CNY,2022-12-02
Company_86,Equities,NSE,6495958.3,EUR,2023-11-01
Company_38,Mortgages,TSX,7944941.63,CAD,2018-05-13
Company_48,Options,SSE,5853468.47,JPY,2013-06-16
Company_12,Commodities,BSE,5515125.16,CAD,2013-09-27
Company_35,Futures,SSE,7964240.26,USD,2018-12-28
Company_35,Commodities,NSE,9728482.86,INR,2019-08-05
Company_66,Swaps,SSE,8735213.25,INR,2017-12-03
Company_39,Swaps,NYSE,9488292.32,AUD,2022-07-09
Company_7,Options,NSE,6055025.78,EUR,2017-04-14
Company_15,Options,JPX,3437186.39,CAD,2012-05-12
Company_21,Commitments,BSE,2995004.09,GBP,2020-01-23
Company_12,Commitments,JPX,598864.92,GBP,2022-11-27
Company_84,Futures,ASX,2594739.16,CAD,2012-02-24
Company_11,Mortgages,NASDAQ,9626843.11,CAD,2019-05-26
Company_55,Fixed Income,HKEX,2548034.14,EUR,2022-12-16
Company_73,Options,TSX,1560330.0,CNY,2019-01-04
Company_60,Commodities,NYSE,8881587.2,USD,2021-06-08
Company_26,Commodities,NYSE,6886040.01,JPY,2016-04-20
Company_99,Futures,JPX,8082900.98,CNY,2021-06-03
Company_34,Fixed Income,BSE,2582933.0,GBP,2019-07-23
Company_90,Futures,NYSE,3513882.51,CAD,2012-02-19
Company_6,Futures,LSE,4016023.57,EUR,2012-06-18
Company_36,Swaps,TSX,8016322.22,CNY,2022-01-17
Company_85,Fixed Income,NYSE,4434023.13,CAD,2014-07-02
Company_2,Commodities,SSE,4655672.66,AUD,2010-11-28
Company_61,Bonds,JPX,3569805.29,CNY,2014-05-27
Company_97,Futures,LSE,3199444.39,CAD,2019-04-08
Company_33,Options,JPX,3872435.22,CAD,2014-07-18
Company_8,Swaps,LSE,1853388.49,USD,2020-10-15
Company_55,Equities,BSE,3694556.95,EUR,2021-12-16
Company_86,Derivatives,SSE,3446536.09,CNY,2012-11-22
Company_81,Commodities,TSX,1363912.01,JPY,2013-05-22
Company_16,Mortgages,JPX,6943023.81,AUD,2023-04-21
Company_61,Swaps,HKEX,4666610.17,GBP,2016-10-26
Company_54,Options,ASX,4827817.24,JPY,2019-02-13
Company_83,Futures,NASDAQ,1969140.55,AUD,2016-09-26
Company_78,Fixed Income,HKEX,1362712.64,CNY,2016-02-13
Company_28,Futures,JPX,2882534.93,EUR,2022-02-15
Company_20,Mortgages,ASX,1262648.05,CAD,2017-05-17
Company_16,Derivatives,HKEX,1877952.77,CNY,2020-01-21
Company_49,Fixed Income,SSE,5185554.12,USD,2018-06-12
Company_35,Mortgages,NYSE,7762240.93,USD,2019-11-20
Company_92,Fixed Income,SSE,8016056.55,CNY,2010-01-23
Company_63,Options,SSE,7467689.69,JPY,2015-01-13
Company_13,Commodities,NSE,1890624.17,JPY,2018-03-02
Company_59,Derivatives,NASDAQ,1220035.44,AUD,2018-07-11
Company_58,Futures,BSE,7093932.75,EUR,2010-04-06
Company_8,Mortgages,LSE,2664843.39,EUR,2017-04-22
Company_21,Options,NASDAQ,3259868.52,CAD,2022-12-10
Company_27,Commitments,LSE,2673096.16,CNY,2017-05-01
Company_90,Swaps,SSE,2957194.12,AUD,2013-08-18
Company_13,Equities,NASDAQ,1257504.74,CAD,2018-08-23
Company_29,Bonds,NYSE,8785451.46,CNY,2021-04-09
Company_6,Derivatives,NASDAQ,8897680.45,USD,2010-06-15
Company_24,Fixed Income,SSE,3799058.15,GBP,2017-10-04
Company_65,Mortgages,HKEX,2282917.38,EUR,2016-08-04
Company_54,Mortgages,SSE,8800899.74,CNY,2021-12-18
Company_9,Commodities,ASX,3146661.62,EUR,2014-05-27
Company_17,Fixed Income,HKEX,3506322.29,GBP,2020-02-11
Company_52,Swaps,LSE,2249892.99,GBP,2014-08-10
Company_51,Options,NSE,9707885.65,GBP,2017-02-18
Company_45,Derivatives,NASDAQ,2376324.13,USD,2013-12-12
Company_91,Futures,NSE,8888359.43,INR,2023-09-24
Company_3,Options,NSE,5111545.42,AUD,2011-08-17
Company_54,Commodities,SSE,6530191.21,JPY,2019-04-14
Company_77,Fixed Income,SSE,3079306.86,CAD,2022-08-06
Company_4,Mortgages,NYSE,2138779.22,CAD,2012-02-02
Company_39,Options,NASDAQ,1274143.71,AUD,2016-09-21
Company_12,Fixed Income,JPX,8493405.59,JPY,2013-02-07
Company_68,Bonds,HKEX,6885825.65,AUD,2019-03-07
Company_42,Mortgages,TSX,6111563.96,INR,2021-02-02
Company_36,Commitments,NSE,4039611.72,CAD,2023-12-04
Company_1,Fixed Income,NYSE,9377484.87,EUR,2016-05-27
Company_6,Equities,NYSE,2355308.04,INR,2022-11-13
Company_17,Commitments,NASDAQ,5330096.03,USD,2016-10-02
Company_36,Fixed Income,JPX,5921776.88,EUR,2014-11-17
Company_19,Commitments,SSE,9040882.18,EUR,2012-01-13
Company_19,Equities,TSX,730867.9,CAD,2022-01-03
Company_86,Bonds,BSE,7342001.52,EUR,2015-01-20
Company_79,Derivatives,NSE,7445406.68,CAD,2016-09-27
Company_12,Commitments,HKEX,2601711.44,EUR,2015-04-27
Company_24,Futures,HKEX,8450429.27,AUD,2019-04-20
Company_18,Options,LSE,7811713.64,JPY,2015-12-20
Company_52,Fixed Income,TSX,8922423.98,INR,2023-03-25
Company_55,Mortgages,TSX,8386890.17,EUR,2019-12-08
Company_74,Commitments,BSE,3246637.11,GBP,2017-11-15
Company_96,Fixed Income,NYSE,5487255.22,GBP,2020-05-01
Company_30,Bonds,TSX,5297743.08,USD,2010-12-06
Company_86,Derivatives,TSX,191138.0,AUD,2023-12-21
Company_86,Bonds,NSE,4282498.13,EUR,2017-03-16
Company_96,Commodities,ASX,7578267.67,GBP,2019-02-05
Company_27,Bonds,ASX,7384707.3,CNY,2014-05-04
Company_34,Futures,HKEX,143676.1,EUR,2021-06-20
Company_1,Fixed Income,JPX,1905855.42,USD,2013-01-19
Company_22,Mortgages,JPX,2316679.15,AUD,2013-07-09
Company_39,Derivatives,BSE,4303943.02,USD,2019-11-02
Company_49,Bonds,SSE,3197155.28,USD,2021-05-25
Company_79,Equities,NYSE,9241588.7,CNY,2023-05-10
Company_53,Derivatives,NASDAQ,3381116.05,EUR,2017-11-19
Company_20,Fixed Income,NYSE,225196.85,GBP,2018-09-07
Company_36,Futures,LSE,9127345.56,AUD,2022-05-11
Company_42,Swaps,NSE,3169946.21,GBP,2023-10-22
Company_66,Mortgages,JPX,300527.39,INR,2019-11-09
Company_35,Swaps,NYSE,200473.5,USD,2015-07-17
Company_74,Commodities,NSE,6012103.11,JPY,2021-07-27
Company_33,Futures,BSE,3108105.46,GBP,2020-03-27
Company_15,Bonds,SSE,4125777.37,GBP,2021-09-14
Company_73,Commodities,SSE,8117229.58,JPY,2023-05-17
Company_41,Futures,BSE,9679006.12,JPY,2023-06-16
Company_17,Mortgages,HKEX,7275127.58,CAD,2012-11-13
Company_5,Derivatives,NSE,5976504.57,EUR,2015-08-11
Company_68,Commitments,NYSE,452887.87,CAD,2014-05-15
Company_47,Commitments,LSE,2685082.09,CAD,2017-04-16
Company_87,Futures,JPX,2755432.77,USD,2021-01-05
Company_1,Fixed Income,LSE,8563641.54,INR,2023-11-25
Company_7,Commodities,JPX,7765947.93,CNY,2021-02-16
Company_68,Fixed Income,LSE,6663666.6,GBP,2015-11-02
Company_77,Commitments,ASX,7229817.51,CAD,2017-04-06
Company_23,Mortgages,LSE,2500611.01,GBP,2016-01-03
Company_59,Derivatives,TSX,1524756.07,JPY,2012-01-20
Company_74,Commitments,LSE,2798394.76,JPY,2014-09-07
Company_84,Futures,NYSE,7218952.67,EUR,2021-09-09
Company_99,Derivatives,BSE,6983974.19,INR,2012-08-17
Company_45,Commodities,HKEX,329149.28,JPY,2020-12-19
Company_38,Options,TSX,4852691.16,INR,2011-05-13
Company_61,Fixed Income,HKEX,6484385.62,USD,2019-03-04
Company_32,Commodities,NYSE,1214173.62,JPY,2023-03-16
Company_34,Swaps,HKEX,9753976.93,CNY,2019-05-21
Company_95,Commodities,TSX,2493473.81,EUR,2018-09-04
Company_98,Derivatives,NSE,6551503.62,CAD,2011-06-02
Company_19,Commitments,JPX,4072365.82,AUD,2015-10-18
Company_18,Commitments,SSE,3098165.0,CAD,2011-08-14
Company_98,Fixed Income,JPX,4144249.96,USD,2018-06-10
Company_2,Fixed Income,NYSE,2027711.49,CAD,2013-06-11
Company_43,Futures,SSE,7266216.27,JPY,2019-08-06
Company_2,Derivatives,BSE,256743.95,CNY,2021-05-28
Company_18,Swaps,SSE,1817330.99,GBP,2023-06-19
Company_63,Fixed Income,SSE,8174373.43,INR,2022-01-15
Company_12,Swaps,BSE,7090971.24,USD,2011-12-25
Company_11,Fixed Income,NYSE,2317172.41,GBP,2013-11-06
Company_32,Derivatives,TSX,2315459.32,INR,2021-05-11
Company_27,Bonds,ASX,4051202.47,GBP,2016-08-23
Company_40,Commitments,LSE,899832.99,CNY,2013-09-06
Company_33,Derivatives,SSE,9089421.09,GBP,2012-04-20
Company_82,Commodities,LSE,2855777.94,AUD,2013-10-14
Company_93,Swaps,SSE,9038122.79,CNY,2021-01-26
Company_59,Futures,HKEX,5847078.92,EUR,2010-06-04
Company_46,Swaps,NSE,790367.6,USD,2018-02-14
Company_97,Derivatives,HKEX,6944005.68,CAD,2019-12-22
Company_69,Derivatives,NASDAQ,7759814.42,JPY,2020-03-02
Company_92,Futures,LSE,5628394.33,CAD,2013-05-05
Company_84,Equities,SSE,3381960.65,EUR,2015-03-23
Company_94,Options,NYSE,622967.67,CNY,2014-09-14
Company_16,Derivatives,NSE,6614477.37,JPY,2023-11-06
Company_35,Bonds,SSE,6556609.18,AUD,2019-03-17
Company_76,Bonds,HKEX,7700654.25,CNY,2018-01-04
Company_24,Bonds,BSE,5744408.22,JPY,2023-01-02
Company_41,Equities,NSE,4087974.95,GBP,2021-05-20
Company_35,Equities,LSE,7445441.92,GBP,2023-09-03
Company_66,Fixed Income,LSE,3439088.6,EUR,2023-03-13
Company_51,Futures,NASDAQ,4895103.44,GBP,2023-08-06
Company_78,Commodities,LSE,1213243.25,CNY,2019-12-01
Company_72,Bonds,BSE,291158.66,GBP,2019-07-08
Company_10,Bonds,ASX,8465877.94,EUR,2021-03-09
Company_8,Equities,NYSE,7520563.12,JPY,2014-02-16
Company_54,Swaps,SSE,4932555.56,JPY,2017-08-16
Company_80,Fixed Income,JPX,3849114.86,USD,2014-08-27
Company_4,Equities,LSE,528860.31,CNY,2022-07-24
Company_39,Commodities,JPX,4243982.69,CAD,2021-10-22
Company_35,Fixed Income,NYSE,7055221.83,EUR,2022-03-05
Company_50,Futures,TSX,1266862.82,JPY,2020-06-09
Company_26,Commitments,JPX,4763583.02,USD,2020-11-12
Company_97,Swaps,SSE,5541223.78,GBP,2012-02-25
Company_53,Mortgages,ASX,9099761.11,JPY,2012-03-09
Company_2,Options,TSX,6384133.51,INR,2014-10-07
Company_68,Fixed Income,TSX,8892416.66,CNY,2012-04-28
Company_97,Mortgages,ASX,6500708.45,GBP,2018-08-09
Company_40,Swaps,LSE,5737258.92,JPY,2013-03-05
Company_62,Bonds,NYSE,8628254.13,GBP,2022-02-19
Company_14,Bonds,ASX,5055047.21,USD,2016-05-07
Company_81,Options,ASX,7919720.12,EUR,2012-10-19
Company_65,Bonds,BSE,7054247.42,EUR,2018-11-01
Company_42,Options,HKEX,8034110.83,USD,2019-08-13
Company_75,Swaps,TSX,9390272.22,JPY,2023-06-01
Company_64,Commodities,HKEX,9586285.61,EUR,2018-09-11
Company_80,Fixed Income,NSE,4648179.57,JPY,2013-06-20
Company_86,Equities,NYSE,5743475.61,CAD,2020-11-08
Company_25,Mortgages,TSX,6825758.04,JPY,2013-12-11
Company_3,Bonds,SSE,7533201.05,AUD,2023-05-08
Company_28,Options,SSE,298527.88,CAD,2014-08-24
Company_12,Mortgages,NSE,9752946.75,USD,2023-07-13
Company_33,Equities,JPX,3712969.9,CNY,2022-08-26
Company_71,Bonds,JPX,6015775.23,CNY,2021-09-12
Company_92,Derivatives,NASDAQ,1559582.14,USD,2021-02-04
Company_68,Fixed Income,BSE,654261.3,JPY,2022-12-16
Company_2,Derivatives,ASX,3147347.43,CNY,2021-06-04
Company_43,Equities,NASDAQ,8385657.54,GBP,2013-12-18
Company_54,Commitments,TSX,3218972.49,AUD,2011-04-21
Company_84,Options,LSE,1638681.79,CAD,2022-09-03
Company_35,Swaps,NASDAQ,6395567.17,EUR,2020-02-19
Company_4,Derivatives,NYSE,6674179.46,AUD,2021-03-22
Company_70,Commitments,BSE,3119977.3,CAD,2018-12-24
Company_5,Options,NASDAQ,439799.22,CNY,2021-04-11
Company_46,Commitments,SSE,4958754.25,GBP,2016-04-10
Company_91,Equities,ASX,3252388.06,CAD,2023-09-06
Company_38,Commodities,BSE,5616344.84,CAD,2018-05-12
Company_76,Commodities,LSE,1575324.05,CAD,2010-02-22
Company_11,Bonds,NYSE,321966.89,GBP,2016-09-10
Company_87,Futures,BSE,4809675.2,INR,2016-12-04
Company_75,Mortgages,NYSE,1413132.91,INR,2016-04-15
Company_58,Derivatives,ASX,8345999.71,INR,2019-05-24
Company_30,Commitments,SSE,1975444.67,CNY,2016-08-03
Company_12,Bonds,LSE,8106727.22,JPY,2015-03-05
Company_78,Fixed Income,JPX,4038151.62,EUR,2018-08-21
Company_75,Fixed Income,NSE,3465727.83,JPY,2020-08-21
Company_17,Commodities,ASX,9652887.31,JPY,2011-06-17
Company_95,Bonds,LSE,8642346.1,INR,2011-04-28
Company_68,Futures,TSX,4812193.04,INR,2020-09-11
Company_39,Swaps,NSE,5895070.2,CAD,2013-10-07
Company_36,Commitments,NASDAQ,1928692.24,JPY,2016-05-27
Company_53,Mortgages,JPX,3309755.23,CNY,2019-07-15
Company_89,Mortgages,NYSE,4032866.06,AUD,2017-05-01
Company_92,Derivatives,ASX,7110016.94,JPY,2017-06-01
Company_16,Bonds,NYSE,3296786.64,INR,2021-01-09
Company_62,Options,NSE,6714366.51,GBP,2013-08-24
Company_96,Mortgages,JPX,4742009.98,JPY,2015-08-13
Company_67,Derivatives,BSE,2606894.01,CNY,2015-04-25
Company_80,Futures,SSE,708188.98,CAD,2014-08-03
Company_64,Commodities,TSX,8802025.86,EUR,2016-09-14
Company_63,Equities,TSX,5302278.76,CNY,2011-12-11
Company_14,Bonds,NYSE,271918.79,USD,2014-05-07
Company_47,Options,HKEX,8645047.84,EUR,2010-01-14
Company_86,Commodities,NYSE,7924091.45,INR,2020-07-01
Company_32,Equities,ASX,2298790.27,USD,2020-12-15
Company_82,Fixed Income,TSX,967721.98,GBP,2017-05-25
Company_85,Mortgages,NASDAQ,9890302.07,EUR,2013-04-02
Company_78,Equities,HKEX,7917930.21,USD,2011-09-28
Company_8,Options,NSE,8755761.27,CAD,2022-04-15
Company_39,Commitments,LSE,7278467.05,USD,2010-03-14
Company_81,Commodities,TSX,3490813.13,CNY,2011-09-19
Company_82,Equities,LSE,7589245.1,CNY,2012-05-18
Company_69,Commodities,JPX,1385632.49,USD,2023-03-25
Company_72,Mortgages,ASX,9759317.37,CNY,2015-06-05
Company_20,Swaps,ASX,1975288.23,AUD,2023-09-02
Company_30,Swaps,LSE,9542707.51,EUR,2015-08-25
Company_15,Bonds,NASDAQ,6063525.44,AUD,2016-08-05
Company_25,Futures,NYSE,7633652.65,AUD,2014-02-18
Company_47,Swaps,NSE,793093.52,EUR,2013-09-07
Company_84,Derivatives,NASDAQ,2676390.38,JPY,2015-05-15
Company_52,Derivatives,JPX,2843706.68,CAD,2014-12-24
Company_59,Bonds,LSE,118681.78,JPY,2021-11-10
Company_100,Options,BSE,9351065.74,JPY,2017-01-22
Company_24,Commitments,SSE,4826629.54,EUR,2017-05-07
Company_18,Bonds,TSX,7232173.81,EUR,2017-03-26
Company_87,Mortgages,ASX,3688172.58,AUD,2015-09-26
Company_66,Derivatives,NYSE,1329990.61,GBP,2019-10-19
Company_2,Futures,NASDAQ,198021.98,EUR,2010-03-13
Company_32,Futures,NYSE,228872.91,EUR,2019-10-01
Company_58,Fixed Income,SSE,9500782.56,JPY,2014-01-28
Company_28,Futures,NYSE,4292127.84,USD,2017-11-16
Company_9,Options,NSE,1842425.2,INR,2010-04-09
Company_41,Swaps,ASX,5498321.66,GBP,2020-01-06
Company_33,Equities,BSE,6735056.6,AUD,2020-04-20
Company_81,Commodities,TSX,1888428.85,CAD,2017-08-19
Company_94,Options,HKEX,194750.13,GBP,2011-05-11
Company_27,Options,LSE,9290569.85,JPY,2013-03-03
Company_28,Swaps,NASDAQ,8455665.0,JPY,2018-07-21
Company_66,Mortgages,LSE,4032960.14,GBP,2013-06-14
Company_13,Commitments,SSE,8748564.85,JPY,2016-02-10
Company_63,Derivatives,BSE,1464587.89,INR,2018-09-05
Company_32,Derivatives,ASX,9451908.66,JPY,2011-09-28
Company_83,Equities,TSX,8750278.9,CNY,2019-01-10
Company_66,Options,HKEX,3425555.2,JPY,2014-08-04
Company_56,Options,JPX,678535.35,INR,2017-02-02
Company_70,Bonds,SSE,3984942.11,AUD,2010-07-12
Company_4,Swaps,LSE,2053504.02,CNY,2021-05-25
Company_11,Equities,NYSE,4766996.64,EUR,2023-05-28
Company_19,Commitments,NYSE,3245760.28,JPY,2015-12-26
Company_11,Fixed Income,NSE,1093085.83,JPY,2021-05-27
Company_76,Commodities,SSE,5772734.82,GBP,2019-02-02
Company_92,Options,NYSE,4468511.9,CAD,2020-09-25
Company_42,Futures,SSE,948000.08,GBP,2018-10-22
Company_87,Mortgages,NASDAQ,7830280.24,INR,2016-10-27
Company_55,Swaps,HKEX,9706870.25,JPY,2014-08-27
Company_68,Bonds,LSE,4153963.08,CNY,2022-02-24
Company_51,Commitments,ASX,6553222.04,USD,2011-09-14
Company_3,Derivatives,NYSE,2447429.19,USD,2023-12-25
Company_80,Swaps,NSE,5388856.34,CNY,2011-02-23
Company_33,Swaps,NSE,4365136.65,USD,2013-05-22
Company_60,Swaps,NYSE,5108719.24,CNY,2013-08-10
Company_87,Bonds,TSX,3813891.88,GBP,2020-06-02
Company_83,Commodities,TSX,4626893.7,GBP,2011-10-18
Company_74,Fixed Income,JPX,7436828.78,CAD,2019-04-01
Company_10,Bonds,JPX,7854288.87,INR,2010-08-03
Company_76,Futures,LSE,3679050.54,CAD,2011-02-15
Company_10,Equities,TSX,8584474.43,USD,2023-04-10
Company_23,Options,NSE,3260095.2,CNY,2017-04-23
Company_15,Commitments,NYSE,1336653.26,CNY,2016-01-28
Company_24,Commodities,SSE,1007725.34,GBP,2016-02-12
Company_36,Swaps,SSE,5181064.07,CAD,2016-10-28
Company_11,Swaps,HKEX,5939749.41,JPY,2014-09-04
Company_8,Swaps,HKEX,1994469.97,CAD,2013-10-07
Company_15,Commodities,TSX,7240735.45,GBP,2011-07-12
Company_75,Options,NASDAQ,940405.65,INR,2022-10-25
Company_12,Fixed Income,BSE,8354329.68,INR,2020-09-21
Company_77,Derivatives,HKEX,8291746.65,INR,2019-03-18
Company_8,Bonds,HKEX,6219108.66,CNY,2020-09-05
Company_34,Options,NASDAQ,4972721.07,GBP,2019-08-04
Company_28,Commitments,NASDAQ,6838161.04,GBP,2015-01-18
Company_38,Fixed Income,TSX,6686421.89,EUR,2023-12-04
Company_21,Commitments,JPX,8629312.65,GBP,2018-09-24
Company_22,Futures,NASDAQ,2667592.63,AUD,2023-08-02
Company_83,Derivatives,TSX,9141329.24,JPY,2012-02-05
Company_42,Futures,ASX,6575967.58,AUD,2013-03-23
Company_36,Equities,HKEX,7423086.59,GBP,2012-01-15
Company_66,Commitments,NYSE,3370234.22,USD,2023-09-19
Company_72,Futures,TSX,7336723.16,USD,2021-09-23
Company_95,Commitments,BSE,6317451.14,INR,2012-04-25
Company_28,Bonds,SSE,2520989.16,EUR,2021-01-15
Company_28,Options,ASX,723072.03,JPY,2014-11-07
Company_47,Bonds,NSE,8901099.08,AUD,2011-06-10
Company_86,Swaps,SSE,3086271.47,EUR,2017-05-12
Company_41,Bonds,HKEX,7959668.66,USD,2011-09-16
Company_13,Derivatives,NASDAQ,2347292.66,USD,2010-07-07
Company_38,Swaps,SSE,4240001.27,EUR,2012-11-19
Company_74,Mortgages,BSE,8044338.08,JPY,2022-07-04
Company_70,Commitments,ASX,4446976.57,INR,2017-07-10
Company_17,Fixed Income,NSE,5352300.95,CAD,2010-08-19
Company_91,Swaps,TSX,4662056.11,CAD,2012-04-25
Company_2,Fixed Income,HKEX,6953358.9,CAD,2020-01-04
Company_23,Fixed Income,LSE,5734031.29,USD,2022-02-25
Company_15,Mortgages,TSX,6183557.11,AUD,2011-11-12
Company_88,Options,LSE,1476687.57,GBP,2023-02-25
Company_48,Commitments,NASDAQ,532477.89,USD,2021-10-18
Company_73,Derivatives,NYSE,3940142.41,CAD,2019-12-27
Company_29,Derivatives,BSE,8342366.24,AUD,2023-01-01
Company_71,Commitments,TSX,6786282.89,GBP,2020-09-13
Company_2,Bonds,JPX,5967411.12,EUR,2017-12-10
Company_34,Commodities,NYSE,9270204.78,AUD,2019-11-24
Company_43,Mortgages,LSE,3036667.53,AUD,2020-10-21
Company_70,Futures,NSE,4050141.34,JPY,2019-02-13
Company_4,Swaps,NSE,4011187.89,AUD,2011-12-14
Company_42,Options,NSE,362227.85,EUR,2015-03-20
Company_45,Swaps,BSE,2523575.46,CAD,2014-02-21
Company_91,Bonds,NSE,5305001.67,CAD,2013-01-09
Company_39,Derivatives,BSE,4706729.12,CAD,2020-10-17
Company_88,Commitments,JPX,9413633.23,CNY,2013-03-21
Company_39,Fixed Income,HKEX,3254711.64,CAD,2011-02-05
Company_60,Equities,JPX,9244084.41,EUR,2016-03-14
Company_96,Futures,JPX,3743651.14,USD,2015-07-22
Company_53,Swaps,ASX,6970451.62,JPY,2012-11-03
Company_74,Commodities,TSX,4073851.17,CNY,2013-11-17
